id;tipo_titulo;emissor;data_vencimento;taxa_juros;pu;duration
1;tesouro;LFT;05/03/2024;-0.0252;14.543.872.353;
2;tesouro;LFT;05/03/2024;-0.0114;14.543.581.526;
3;tesouro;LTN;05/03/2024;109.894;992.589.908;
4;tesouro;LTN;05/03/2024;10.42;968.673.143;
5;tesouro;LTN;05/03/2024;100.253;945.854.487;
6;tesouro;LTN;05/03/2024;98.298;924.939.445;
7;tesouro;LTN;05/03/2024;9.767;904.696.094;
8;tesouro;NTN-B;05/03/2024;75.585;4.217.563.267;
9;tesouro;NTN-B;05/03/2024;59.831;4.311.976.847;
10;tesouro;NTN-B;05/03/2024;56.545;4.279.489.634;
11;tesouro;NTN-B;05/03/2024;55.991;4.361.694.051;
12;tesouro;NTN-B;05/03/2024;56.037;4.315.041.838;
13;tesouro;NTN-B;05/03/2024;56.194;4.387.767.643;
14;CRA;BRF S.A.;16/12/2020;Pre;;1056.0
15;CRA;BRF S.A.;18/12/2023;Pre;;687.0
16;CRA;CAMIL ALIMENTOS S.A.;20/12/2021;IPCA;;575.0
17;CRA;FIBRIA CELULOSE S.A.;23/06/2023;IPCA;;311.0
18;CRA;FIBRIA CELULOSE S.A.;15/08/2023;IPCA;;916.0
19;CRA;FIBRIA CELULOSE S.A.;15/12/2023;Pre;;1206.0
20;CRA;FIBRIA CELULOSE S.A.;17/01/2022;Pre;;979.0
21;CRA;FIBRIA CELULOSE S.A. ;23/09/2022;Pre;;72.0
22;CRA;IPIRANGA PRODUTOS DE PETRÓLEO ;18/04/2022;Pre;;1043.0
23;CRA;IPIRANGA PRODUTOS DE PETRÓLEO S.A.;25/10/2022;Pre;;154.0
24;CRA;KLABIN;28/03/2022;Pre;;973.0
25;CRA;KLABIN;20/12/2023;Pre;;875.0
26;CRA;MINERVA S.A.;05/10/2020;Pre;;913.0
27;CRA;NORSA REFRIGERANTES S.A.;03/10/2022;Pre;;283.0
28;CRA;RAÍZEN COMBUSTÍVEIS;15/12/2023;Pre;;161.0
29;CRA;RAÍZEN ENERGIA LTDA.;14/06/2021;Pre;;1235.0
30;CRA;RAÍZEN ENERGIA S.A;17/04/2024;Pre;;280.0
31;CRA;RAÍZEN ENERGIA S.A;19/04/2023;Pre;;242.0
32;CRA;RAÍZEN TARUMÃ LTDA.;18/05/2022;Pre;;478.0
33;CRA;SUZANO PAPEL E CELULOSE S.A.;25/11/2024;Pre;;831.0
34;CRA;SÃO MARTINHO S.A.;19/04/2023;Pre;;377.0
35;CRA;SÃO MARTINHO S.A.;19/04/2021;Pre;;176.0
36;CRA;SÃO MARTINHO S.A.;15/03/2023;Pre;;198.0
37;CRA;VLI MULTIMODAL S.A.;24/02/2022;Pre;;345.0
38;CRI;ALIANSCE SHOPPING CENTERS S.A. ;30/09/2021;Pre;;373.0
39;CRI;ALIANSCE SHOPPING CENTERS S.A. ;01/06/2022;Pre;;1130.0
40;CRI;MULTIPLAN EMPREENDIMENTOS IMOBILIÁRIOS S.A. ;15/12/2022;Pre;;301.0
41;Debenture;AES SUL DISTRIBUIDORA GAUCHA DE ENERGIA S/A (*) (**);20/10/2020;"114,5% do DI";10.092.552.541;575.0
43;Debenture;AES TIETE ENERGIA S/A (*);15/12/2023;"IPCA + 6,5365%";1.168.369.568;1180.0
44;Debenture;AES TIETE ENERGIA S/A (*);15/04/2022;"DI + 0,9%";1.006.476;858.0
45;Debenture;AES TIETE S/A (*);15/04/2024;"IPCA + 6,7842%";1.072.194;1268.0
46;Debenture;ALGAR TELECOM S/A;15/05/2022;"IPCA + 7,7325%";1.177.024.061;875.0
47;Debenture;ALGAR TELECOM S/A;15/03/2022;"DI + 1,4%";1.030.421.804;831.0
48;Debenture;ALGAR TELECOM S/A;15/09/2019;IPCA + 6%;957.612.535;345.0
49;Debenture;ALGAR TELECOM S/A;15/03/2024;"IPCA + 6,8734%";1.114.321.403;1235.0
50;Debenture;ALUPAR INVESTIMENTO S/A;03/02/2018;"DI + 1,45%";3.412.817.049;72.0
51;Debenture;FLEURY S/A;15/02/2020;"DI + 0,85%";10.212.636.283;310.0
52;Debenture;FLEURY S/A;12/12/2018;"DI + 1,20%";6.933.960.499;152.0
53;Debenture;IGUATEMI EMPRESA DE SHOPPING CENTERS S/A;01/02/2018;"DI + 1,00%";5.114.526.022;70.0
54;Debenture;IGUATEMI EMPRESA DE SHOPPING CENTERS S/A;15/02/2020;"DI + 0,82%";10.203.404.671;425.0
55;Debenture;IGUATEMI EMPRESA DE SHOPPING CENTERS S/A;15/02/2021;"IPCA + 4,31%";13.669.648.727;772.0
56;Debenture;INBRANDS S/A (*) (**);12/08/2019;"DI + 4,50%";798.703.536;266.0
57;Debenture;INTERCEMENT BRASIL S/A (*) (**);19/04/2022;115% do DI;7.909.939.938;541.0
422;Debenture;AES TIETE ENERGIA S/A;15/12/2020;"IPCA + 8,4328%";1.250.914.094;699.0
